2026-03-06 20:41:03 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 20:41:03 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 20:41:03 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 20:41:03 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 20:41:28 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 20:41:28 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 20:41:28 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 20:41:28 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 20:41:41 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 20:41:41 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 20:41:49 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 20:41:49 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 20:41:55 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 20:41:55 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 20:41:55 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 20:41:55 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 20:41:58 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 20:41:58 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 20:42:05 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 20:42:05 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 20:42:08 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 20:42:08 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 20:42:21 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 20:42:21 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 21:06:42 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 21:06:42 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 21:06:42 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 21:06:42 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 21:07:26 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 21:07:26 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 21:07:26 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 21:07:26 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 21:07:40 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 21:07:40 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 21:07:41 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 21:07:41 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 21:07:47 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 21:07:47 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 21:07:59 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 21:07:59 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 21:08:04 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 21:08:04 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 21:08:11 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 21:08:11 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 21:08:14 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 21:08:14 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 21:08:36 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 21:08:36 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 22:00:04 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 22:00:04 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 22:00:43 | WARNING  | agents.signal_analyst:37 | No price data for RICHTECH — may be unlisted/delisted
2026-03-06 22:01:24 | WARNING  | agents.signal_analyst:37 | No price data for FFIE — may be unlisted/delisted
2026-03-06 22:01:46 | WARNING  | agents.signal_analyst:37 | No price data for PAYPAY — may be unlisted/delisted
2026-03-06 22:24:59 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 22:24:59 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 22:24:59 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 22:24:59 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 22:25:06 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 22:25:06 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 22:25:06 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 22:25:06 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 22:45:46 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 22:45:46 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 22:45:46 | INFO     | utils.db:32 | Initialising database: fintel.db
2026-03-06 22:45:46 | SUCCESS  | utils.db:164 | ✅ Database ready
2026-03-06 22:46:14 | INFO     | utils.db:32 | Initialising database: fintel.db
