2026-03-04 13:54:15 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-03-04 13:54:15 | SUCCESS  | utils.db:140 | ✅ Database ready
2026-03-04 15:57:18 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-03-04 15:57:18 | SUCCESS  | utils.db:153 | ✅ Database ready
2026-03-04 17:13:36 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-03-04 17:13:36 | SUCCESS  | utils.db:153 | ✅ Database ready
2026-03-04 17:24:04 | INFO     | utils.db:221 | Scan logged: historical | 2025-03-04 → 2026-03-04 | success
2026-03-04 17:31:26 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-03-04 17:31:26 | SUCCESS  | utils.db:153 | ✅ Database ready
2026-03-04 18:56:20 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-03-04 18:56:20 | SUCCESS  | utils.db:153 | ✅ Database ready
2026-03-04 19:00:20 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-03-04 19:00:20 | SUCCESS  | utils.db:153 | ✅ Database ready
2026-03-04 19:03:59 | ERROR    | __main__:160 | AI Sentiment failed for SunPower Inc.: 'list' object has no attribute 'get'
2026-03-04 19:08:11 | WARNING  | utils.llm:82 | Could not parse JSON from LLM:  {
  "sentiment_score": 75,
  "news_summary": "Positive news about first batch of EAI Robotics deliveries and stock surge",
  "key_catalysts": "Successful robotics delivery and positive market respons
2026-03-04 19:14:31 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-03-04 19:14:31 | SUCCESS  | utils.db:153 | ✅ Database ready
2026-03-04 19:15:07 | WARNING  | __main__:37 | No price data for RICHTECH — may be unlisted/delisted
2026-03-04 19:15:49 | WARNING  | __main__:37 | No price data for FFIE — may be unlisted/delisted
2026-03-04 19:16:15 | WARNING  | __main__:37 | No price data for PAYPAY — may be unlisted/delisted
2026-03-04 19:26:36 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-03-04 19:26:36 | SUCCESS  | utils.db:153 | ✅ Database ready
2026-03-04 20:28:45 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-03-04 20:28:45 | SUCCESS  | utils.db:153 | ✅ Database ready
2026-03-04 20:29:27 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-03-04 20:29:27 | SUCCESS  | utils.db:153 | ✅ Database ready
2026-03-04 20:29:56 | INFO     | utils.db:31 | Initialising database: fintel.db
2026-03-04 20:29:56 | SUCCESS  | utils.db:153 | ✅ Database ready
2026-03-04 20:29:57 | ERROR    | utils.db:386 | Failed to add filing 307 to watchlist: NOT NULL constraint failed: watchlist.ticker
2026-03-04 20:30:24 | INFO     | utils.db:31 | Initialising database: fintel.db
